BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
11029,Queensway,Blk 166/Aft Mei Chin Rd,1.29013472201419,103.80202111098816,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196', '64']",13
11031,Queensway,Opp Queen's Cl,1.29119666696879,103.80045500000118,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196']",12
11039,Queensway,Blk 19,1.29245762862665,103.79998683928974,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196']",12
11041,Queensway,Aft C'wealth Dr,1.29624499998226,103.79952333299494,"['51', '153', '961M', '961', '198', '147', '123', '855', '100', '93', '196']",11
11049,Queensway,Opp Blessed Sacrament Ch,1.2954609366563,103.79952549937242,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196']",12
11051,Queensway,Opp Queenstown Polyclinic,1.29872166703909,103.8002979755481,"['51', '153', '961M', '961', '198', '147', '123', '855', '100', '93', '196']",11
11059,Queensway,Queenstown Polyclinic,1.29882892782979,103.80097389222824,"['51', '153', '961M', '961', '198', '147', '123', '855', '61', '100', '93', '196']",12
11061,Queensway,Opp Queensway Sec Sch,1.30265777802206,103.80118694402536,"['195A', '153', '186', '122', '105', '961M', '961', '195', '123', '855', '93']",11
11069,Queensway,Queensway Sec Sch,1.30236853162324,103.80161762237655,"['153', '186', '105', '961M', '961', '123', '855', '93']",8
11071,Queensway,Blk 97,1.30621305601609,103.80170944396954,"['153', '186', '105', '961M', '961', '123', '855', '93']",8
11079,Queensway,Opp Blk 95,1.305441389003,103.8018525000066,"['153', '186', '105', '961M', '961', '123', '855', '93']",8
11081,Queensway,Viz Holland,1.30851972202313,103.80258027799628,"['153', '186', '105', '961M', '961', '123', '855', '93']",8
11089,Queensway,Opp Holland Hill Lodge,1.30946135492693,103.8033408735464,"['153', '186', '105', '961M', '961', '123', '855', '93']",8
1109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,['170'],1
11091,Farrer Rd,Leedon Green,1.31219444050072,103.80367378215983,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
11099,Farrer Rd,Opp Leedon Green,1.31305333300118,103.80437666697586,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
11101,Farrer Rd,Empress Rd Mkt/FC,1.31614971080385,103.80596012189226,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
11109,Farrer Rd,Spanish Village,1.31552472199926,103.80574305602846,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
11111,Farrer Rd,Farrer Rd Stn Exit B,1.31780157259006,103.80771866952544,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
11119,Farrer Rd,Farrer Rd Stn Exit A,1.31747833490912,103.80785606728588,"['174', '153', '186', '165', '961M', '48', '961', '855', '93']",9
1112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,"['7', '197', '12e', '63', '12', '980', '851', '175', '960e', '851e', '960', '80']",12
1113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,"['145', '51', '133', '32', '33', '130', '61', '2']",8
11131,C'wealth Ave,Queens Condo,1.2928849988829,103.8070669441734,"['195A', '970', '145', '51', '186', '111', '195']",7
11139,C'wealth Ave,Blk 53A CP,1.2931986108138,103.80744694841285,"['970', '145', '51', '186', '111']",5
11141,C'wealth Ave,Queenstown Stn Exit A/D,1.29463705145492,103.80582510668432,"['195A', '970', '145', '51', '186', '111', '195']",7
11149,C'wealth Ave,Queenstown Stn Exit B/C,1.29506407111991,103.80596280094792,"['195A', '970', '145', '51', '186', '111', '195']",7
11151,C'wealth Ave,Blk 42,1.29863585845076,103.80247592925552,"['195A', '970', '145', '51', '186', '111', '195']",7
11159,C'wealth Ave,Aft Ch Of Our Saviour,1.29800440816386,103.8036265685558,"['195A', '970', '145', '51', '186', '111', '195']",7
11161,C'wealth Ave,C'Wealth Stn Exit A/D,1.30213305598263,103.7983908330214,"['970', '145', '32', '105', '111', '198', '147', '61', '100', '196']",10
11169,C'wealth Ave,C'Wealth Stn Exit B/C,1.30270500001823,103.79838166697326,"['195A', '970', '145', '32', '122', '105', '111', '198', '147', '195', '61', '100', '196']",13
11171,C'wealth Ave,Opp Blk 7B,1.30535666699303,103.79479722196947,"['970', '145', '32', '105', '111', '198', '147', '61', '100', '196']",10
11179,C'wealth Ave,Blk 8,1.30627521395682,103.79427940117534,"['970', '145', '32', '105', '111', '198', '147', '61', '100', '196']",10
11181,C'wealth Ave,Opp Blk 43,1.30722333300814,103.79227638896938,"['185', '74', '200A', '106', '105', '111', '191', '200', '198', '95', '147', '100', '196', '91']",14
11189,C'wealth Ave,Blk 43,1.30740138898924,103.79254222202354,"['145', '185', '74', '106', '32', '105', '111', '191', '200', '198', '95', '147', '100', '196', '91']",15
1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,"['133', '33', '12e', '130', '12', '960e', '2', '960']",8
