BusStopCode,RoadName,Description,Latitude,Longitude,BusServicesList,NumBusServices
12021,Holland Rd,Bef Moonbeam Wk,1.319076389,103.7824306,"['61', '7', '75', '165', '156']",5
12029,Holland Rd,Opp Moonbeam Wk,1.319583694,103.7824392,"['61', '7', '75', '7B', '165', '156']",6
12031,Ulu Pandan Rd,Pandan Valley Condo,1.320800851,103.7796286,"['61', '7', '75', '165', '92', '156']",6
12039,Ulu Pandan Rd,Opp Pandan Valley Condo,1.321045262,103.78019,"['61', '7', '75', '7B', '165', '156']",6
12041,Ulu Pandan Rd,Aft Pandan Valley,1.320491727,103.7765344,"['61', '7', '75', '165', '156']",5
12049,Ulu Pandan Rd,Opp Pandan Valley,1.32091132,103.7765589,"['61', '7', '75', '7B', '165', '156']",6
12051,Ulu Pandan Rd,Pine Gr Condo,1.320428951,103.7750613,"['61', '7', '75', '165', '156']",5
12059,Ulu Pandan Rd,Opp Pine Gr Condo,1.320727311,103.775159,"['61', '7', '75', '7B', '165', '156']",6
12061,Clementi Rd,Blk 109,1.321785002,103.7708734,"['61', '75', '184', '74', '154B', '154', '151', '52']",8
12069,Clementi Rd,Opp Blk 109A,1.321433056,103.7710419,"['61', '75', '184', '74', '154', '151', '52']",7
12071,Clementi Rd,Blk 116,1.3240225,103.7721939,"['61', '75', '184', '74', '154B', '154', '151', '52']",8
12079,Clementi Rd,Opp Blk 116,1.323831876,103.7726309,"['61', '75', '184', '74', '154', '151', '52']",7
12081,Clementi Rd,Clementi N'hood Pk,1.326468056,103.77543,"['61', '75', '184', '74', '154B', '154', '151', '52']",8
12089,Clementi Rd,Opp Maju Camp,1.326261111,103.7757089,"['61', '75', '184', '74', '154', '151', '52']",7
12091,Clementi Rd,SIM Campus,1.329183155,103.7771471,"['61', '75', '184', '74', '154B', '154', '151', '52']",8
12099,Clementi Rd,Opp SIM Campus,1.327838056,103.7767036,"['61', '75', '184', '74', '154', '151', '52']",7
12101,Clementi Rd,Ngee Ann Poly,1.332438964,103.7776851,"['61', '75', '184', '74', '154B', '154', '151', '52']",8
12109,Clementi Rd,Opp Ngee Ann Poly,1.330819444,103.7780086,"['61', '75', '184', '74', '154', '151', '52']",7
1211,Victoria St,Opp Blk 461,1.305518035,103.860545,"['61', '7', '107', '32', '107M', '33', '197', '133', '2', '12', '145', '80', '175', '51', '63']",15
12111,Ulu Pandan Rd,Bef Clementi Rd,1.319117911,103.7722298,"['61', '7', '75', '165', '156']",5
12119,Ulu Pandan Rd,Police KINS Trg Camp,1.319645982,103.7727927,"['61', '7', '75', '7B', '165', '156']",6
12121,Ghim Moh Rd,Blk 7,1.311648333,103.7871517,"['100', '92', '111']",3
12129,Ghim Moh Rd,Blk 3,1.311821111,103.7873261,['92'],1
12131,Mt Sinai Rd,Aft Grove Ave,1.314159444,103.7850617,['92'],1
12139,Mt Sinai Rd,Aft Mt Sinai Lane,1.314531859,103.7850416,['92'],1
12141,Mt Sinai Rd,Opp Henry Pk,1.315743898,103.7823915,['92'],1
12149,Mt Sinai Rd,Henry Pk,1.315769005,103.782661,['92'],1
12151,Moonbeam Walk,Bef Moonbeam Terr,1.318650645,103.7812757,['92'],1
12169,Pandan Valley,Pandan Valley,1.319165492,103.7772417,['92'],1
12179,Mt Sinai Rise,Montview,1.316795047,103.7769949,['92'],1
12189,Mt Sinai Rise,Bef Mt Sinai Dr,1.316426937,103.780224,['92'],1
1219,Victoria St,Blk 461,1.305265985,103.8607202,"['107', '33', '107M', '2', '133', '12']",6
12199,Mt Sinai Rise,Opp Village Twr,1.315479989,103.7782062,['92'],1
