,mall_name,address,latitude,longitude
228,WATERWAY POINT,83 PUNGGOL CENTRAL SHAW THEATRES WATERWAY POINT SINGAPORE 828761,1.40653611690554,103.90198817171
229,WEST COAST PLAZA,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED SINGAPORE 127371,1.30362457527941,103.765858386923
230,WEST MALL,1 BUKIT BATOK CENTRAL LINK CATHAY CINEPLEX WEST MALL SINGAPORE 658713,1.35009714832628,103.74921385957
232,WESTGATE,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,1.33415767556867,103.742766484424
234,WHEELOCK PLACE,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1.30467628730252,103.830642027577
236,WHITE SANDS,2 PASIR RIS STREET 11 LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL) SINGAPORE 519075,1.36563610941695,103.960861814678
238,WISMA ATRIA,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1.30370477426147,103.833205752808
240,WISTERIA MALL,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,1.41795288501536,103.841268831617
241,WOODLANDS CIVIC CENTRE,900 SOUTH WOODLANDS DRIVE WOODLANDS CIVIC CENTRE SINGAPORE 730900,1.43501829566013,103.786930895956
242,WOODLANDS MART,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,1.44562290720221,103.798140993891
243,WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,1.44275334327795,103.790548015512
244,YEW TEE POINT,HEART OF YEW TEE,1.3971942776408,103.745922751197
245,YEW TEE SQUARE,623 CHOA CHU KANG STREET 62 YEW TEE SQUARE SINGAPORE 680623,1.39832134529461,103.747344865384
246,ZHONGSHAN MALL,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,1.32694504456951,103.846554377679
